id,suburb,state_id
995,KOTARA SOUTH,70
996,BENNETTS GREEN,70
997,CHARLESTOWN,70
998,DUDLEY,70
999,GATESHEAD,70
1000,HILLSBOROUGH,70
1001,KAHIBAH,70
1002,MOUNT HUTTON,70
1003,REDHEAD,70
1004,TINGIRA HEIGHTS,70
1005,WHITEBRIDGE,70
1006,MEREWETHER,70
1007,MEREWETHER HEIGHTS,70
1008,THE JUNCTION,70
1009,BROADMEADOW,70
1010,HAMILTON NORTH,70
1011,MARYVILLE,70
1012,WICKHAM,70
1013,CARRINGTON,70
1014,FERN BAY,70
1015,STOCKTON,70
1016,ISLINGTON,70
1017,TIGHES HILL,70
1018,GEORGETOWN,70
1019,WARATAH,70
1020,WARATAH WEST,70
1021,JESMOND,70
1022,LAMBTON,70
1023,NORTH LAMBTON,70
1024,BAR BEACH,70
1025,COOKS HILL,70
1026,NEWCASTLE,70
1027,NEWCASTLE EAST,70
1028,THE HILL,70
1029,NEWCASTLE WEST,70
1030,HAMILTON,70
1031,HAMILTON EAST,70
1032,HAMILTON SOUTH,70
1033,KOORAGANG,70
1034,MAYFIELD,70
1035,MAYFIELD EAST,70
1036,MAYFIELD NORTH,70
1037,MAYFIELD WEST,70
1038,SANDGATE,70
1039,WARABROOK,70
1040,KOTARA EAST,70
1041,NEW LAMBTON,70
1042,NEW LAMBTON HEIGHTS,70
1043,WINDALE,70
1044,SHORTLAND,70
1045,CALLAGHAN,70
1046,NEWCASTLE UNIVERSITY,70
1047,DANGAR,70
1048,HUNTER REGION MC,70
1049,ALLYNBROOK,70
1050,BINGLEBURRA,70
1051,CARRABOLLA,70
1052,EAST GRESFORD,70
